% Moku:Go Frequency Response Analyzer
% Measurement mode: In / Out (dB)
% Channel 1 (on), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Channel 2 (off), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Logarithmic sweep from 20.00000 MHz to 10.00000 mHz with 512 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 935.0 ns (auto), normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% 
% Acquired 2026-04-09 T 12:29:47 -0700
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.45391454e+05, -5.8346e+01, 2.1150e+01
2.35319442e+05, -5.8680e+01, 1.1196e+01
2.25660832e+05, -6.0057e+01, 1.2965e+01
2.16398657e+05, -5.8128e+01, 2.5798e+01
2.07516645e+05, -5.8908e+01, 4.6528e+00
1.98999192e+05, -5.7668e+01, 2.3142e+01
1.90831335e+05, -5.9448e+01, 4.1013e+01
1.82998725e+05, -5.8305e+01, 2.7683e+01
1.75487602e+05, -5.9355e+01, 2.9118e+01
1.68284770e+05, -5.9200e+01, 2.8803e+01
1.61377577e+05, -5.7300e+01, 5.0972e+01
1.54753887e+05, -5.6715e+01, 3.7028e+01
1.48402064e+05, -5.6890e+01, 5.5719e+01
1.42310950e+05, -6.3365e+01, 5.8772e+01
1.36469843e+05, -6.8840e+01, 6.8842e+01
1.30868483e+05, -6.0266e+01, 9.0355e+01
1.25497029e+05, -6.1391e+01, 6.5950e+01
1.20346044e+05, -6.4855e+01, 9.8337e+01
1.15406480e+05, -7.9122e+01, -2.0607e+01
1.10669659e+05, -7.3025e+01, -6.5866e-01
1.06127259e+05, -6.8535e+01, 3.7879e-01
1.01771300e+05, -7.8583e+01, -2.3738e+01
9.75941301e+04, -6.1379e+01, -3.2221e+01
9.35884109e+04, -7.0265e+01, -9.0010e+01
8.97471051e+04, -6.8413e+01, -5.1528e+01
8.60634644e+04, -8.7806e+01, 1.6242e+02
8.25310176e+04, -6.7375e+01, -9.8394e+00
7.91435589e+04, -6.2556e+01, -4.6856e+01
7.58951373e+04, -5.8850e+01, -3.7713e+01
7.27800461e+04, -6.1978e+01, 1.5035e+01
6.97928129e+04, -6.3637e+01, -4.5110e+01
6.69281896e+04, -6.2514e+01, -1.3649e+01
6.41811439e+04, -6.0667e+01, -2.6052e+01
6.15468498e+04, -6.7761e+01, -4.5343e+01
5.90206794e+04, -6.1429e+01, -4.6990e+01
5.65981949e+04, -5.9627e+01, -2.5407e+01
5.42751404e+04, -5.7941e+01, -1.2296e+01
5.20474350e+04, -6.2751e+01, -9.7000e+00
4.99111650e+04, -6.1763e+01, -5.2047e+00
4.78625775e+04, -6.0551e+01, -2.1806e+01
4.58980736e+04, -6.8210e+01, -7.2711e+01
4.40142022e+04, -6.7371e+01, -7.9536e+01
4.22076536e+04, -6.3158e+01, -1.8205e+01
4.04752542e+04, -6.1644e+01, -1.0086e+01
3.88139606e+04, -6.4828e+01, -3.6115e+01
3.72208542e+04, -5.6752e+01, -1.0670e+01
3.56931364e+04, -5.7101e+01, -1.8251e+01
3.42281233e+04, -5.7341e+01, -1.5805e+01
